date,OT,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 01:04:30,2.77,34910076928.0,4498563072.0,4.018066775e+16,15565090816.0,68719476736.0,10565718016.0,6.0,678.5,77.59,7413251.13
2018-07-24 01:05:00,2.68,55459840.0,32145408.0,4.018068522e+16,15565094912.0,68719476736.0,10565718016.0,4.0,59.42,77.59,4455.27
2018-07-24 01:05:30,2.6,55459840.0,32145408.0,4.018068589e+16,15565094912.0,68719476736.0,10565718016.0,1.0,3.2,77.59,501.33
2018-07-24 01:06:00,2.74,28206874624.0,32145408.0,4.018080995e+16,15565111296.0,68719476736.0,10566205440.0,7.0,433.86,77.59,52647500.27
2018-07-24 01:06:30,2.78,55459840.0,4498563072.0,4.018099088e+16,15565115392.0,68719476736.0,10564538368.0,15.0,612.49,77.59,29529186.7
2018-07-24 01:07:00,2.72,28207005696.0,32145408.0,4.018108164e+16,15565119488.0,68719476736.0,10564591616.0,10.0,303.45,77.59,714.97
2018-07-24 01:07:30,2.63,55459840.0,32145408.0,4.018109186e+16,15565119488.0,68719476736.0,10564595712.0,2.0,35.18,77.59,464.53
2018-07-24 01:08:00,2.78,28207005696.0,4498563072.0,4.018121395e+16,15565135872.0,68719476736.0,10564808704.0,7.0,427.56,77.59,52574535.83
2018-07-24 01:08:30,2.85,55459840.0,4498563072.0,4.018140842e+16,15565156352.0,68719476736.0,10565083136.0,17.0,660.52,77.59,37108832.1
2018-07-24 01:09:00,2.76,55459840.0,4498563072.0,4.018153915e+16,15565164544.0,68719476736.0,10564718592.0,13.0,436.35,77.59,2079.53
2018-07-24 01:09:30,2.67,55459840.0,32145408.0,4.018153992e+16,15565164544.0,68719476736.0,10564718592.0,0.0,3.16,77.59,1007.83
2018-07-24 01:10:00,3.14,55459840.0,32145408.0,4.018172388e+16,15565217792.0,68719476736.0,10565140480.0,0.0,641.85,77.59,45835241.93
2018-07-24 01:10:30,3.13,55459840.0,4498563072.0,4.018216339e+16,15565225984.0,68719476736.0,10564878336.0,10.0,1502.43,77.59,7374732.5
2018-07-24 01:11:00,3.03,55459840.0,4738228224.0,4.018219056e+16,15565230080.0,68719476736.0,10564751360.0,6.0,91.45,77.59,1586.83
2018-07-24 01:11:30,2.93,34910502912.0,4498563072.0,4.018219123e+16,15565230080.0,68719476736.0,10564751360.0,0.0,3.27,77.59,1846.23
2018-07-24 01:12:00,3.03,34910502912.0,4498563072.0,4.018231001e+16,15565271040.0,68719476736.0,10565226496.0,6.0,414.1,77.6,47060312.37
2018-07-24 01:12:30,3.03,55459840.0,32145408.0,4.018245188e+16,15565275136.0,68719476736.0,10565300224.0,10.0,480.02,77.59,22148349.8
2018-07-24 01:13:00,2.96,55459840.0,32145408.0,4.018251235e+16,15565275136.0,68719476736.0,10565038080.0,6.0,202.06,77.59,1686.07
2018-07-24 01:13:30,2.87,55459840.0,4498563072.0,4.018251326e+16,15565275136.0,68719476736.0,10564775936.0,2.0,4.2,77.59,715.43
2018-07-24 01:14:00,2.94,28207345664.0,4498563072.0,4.018260243e+16,15565324288.0,68719476736.0,10565046272.0,0.0,311.07,77.6,38113210.9
2018-07-24 01:14:30,2.97,55459840.0,4498563072.0,4.018274127e+16,15565328384.0,68719476736.0,10565152768.0,12.0,471.12,77.6,29500203.23
2018-07-24 01:15:00,2.87,55459840.0,32145408.0,4.018281504e+16,15565336576.0,68719476736.0,10565554176.0,10.0,246.4,77.6,3055.57
2018-07-24 01:15:30,2.78,55459840.0,32145408.0,4.018281552e+16,15565336576.0,68719476736.0,10565554176.0,3.0,3.18,77.6,412.7
